SYSCALL(args) 		 = return
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/vendor_ruby/nokogiri.rb\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/vendor_ruby/nokogiri.bundle\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/1.8/nokogiri.rb\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/1.8/nokogiri.bundle\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/1.8/i686-darwin10.7.0/nokogiri.rb\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/1.8/i686-darwin10.7.0/nokogiri.bundle\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("./nokogiri.rb\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
stat64("./nokogiri.bundle\0", 0x7FFF5FBFE080, 0x0)		 = -1 Err#2
sigprocmask(0x3, 0x1000FDAE0, 0x0)		 = 0x0 0
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x7FFF5FBFC460, 0x0)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x0, 0x1000E14A0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFC480, 0x0)		 = 0 0
close(0x4)		 = 0 0
stat64("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x7FFF5FBFC480, 0x0)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x0, 0x1000E14A0)		 = 4 0
fstat64(0x4, 0x7FFF5FBFC4A0, 0x0)		 = 0 0
close(0x4)		 = 0 0
open("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x0, 0x10026A220)		 = 4 0
fstat64(0x4, 0x7FFF5FBFC2D0, 0x0)		 = 0 0
close(0x4)		 = 0 0
open_nocancel("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x0, 0x1B6)		 = 4 0
close_nocancel(0x4)		 = 0 0
open_nocancel("/Users/aaron/.rvm/rubies/ruby-1.8.7-p334/lib/ruby/site_ruby/1.8/rubygems/gem_path_searcher.rb\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFF5FBFB6E0, 0x7FFF5FBFB7AC)		 = 0 0
read_nocancel(0x4, "##\n# GemPathSearcher has the capability to find loadable files inside\n# gems.  It generates data up front to speed up searches later.\n\nclass Gem::GemPathSearcher\n\n  ##\n  # Initialise the data we need to make searches later.\n\n  def initialize\n    # We want ", 0x1000)		 = 4018 0
