SYSCALL(args) 		 = return
fstat64(0x3, 0x7FFF5FBFF470, 0x0)		 = 0 0
read(0x3, "-]\246\236\240\255\345\356\315\355\272o\305\2221\343E'\332\030%\323\261z\273\372\005\022Y\254\016\363\0", 0x20)		 = 32 0
close(0x3)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x1, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x3, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xF, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xE, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x1E, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0x1F, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xA, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xB, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigaction(0xD, 0x7FFF5FBFF4B0, 0x7FFF5FBFF4E0)		 = 0 0
sigprocmask(0x1, 0x7FFF5FBFF53C, 0x7FFF5FBFF53C)		 = 0x0 0
sigaction(0x14, 0x7FFF5FBFF4D0, 0x7FFF5FBFF500)		 = 0 0
sigprocmask(0x3, 0x7FFF5FBFF53C, 0x0)		 = 0x0 0
geteuid(0x0, 0x10023752, 0x100237080)		 = 0 0
getegid(0x0, 0x10023752, 0x0)		 = 0 0
getuid(0x0, 0x10023E97, 0x10022EF20)		 = 0 0
geteuid(0x0, 0x10023E97, 0x0)		 = 0 0
getgid(0x0, 0x10023E97, 0x0)		 = 0 0
getegid(0x0, 0x10023E97, 0x0)		 = 0 0
getrlimit(0x1008, 0x7FFF5FBFF320, 0x7FFF8566F80C)		 = 0 0
open_nocancel("/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-/foo.rb20110611-61719-ibtz8v-0\0", 0x0, 0x1B6)		 = 3 0
close_nocancel(0x3)		 = 0 0
open_nocancel("/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-/foo.rb20110611-61719-ibtz8v-0\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF5FBFF2B0, 0x7FFF5FBFF37C)		 = 0 0
read_nocancel(0x3, "\0", 0x1000)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF4A0, 0x7FFF5FBFF4D0)		 = 0 0
close_nocancel(0x3)		 = 0 0
madvise(0x7FFF896EF000, 0x2000, 0x5)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0x7FFF5FC45490)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFF5FBFD320)		 = 0 0
close(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD210, 0x2, 0x7FFF5FBFD200)		 = 0 0
bsdthread_register(0x7FFF856A539C, 0x7FFF85685FB8, 0x2000)		 = 0 0
thread_selfid(0x7FFF856A539C, 0x7FFF85685FB8, 0x0)		 = 386357 0
open_nocancel("/dev/urandom\0", 0x0, 0x7FFF70A6EBE0)		 = 3 0
read_nocancel(0x3, "\341J\344\310\236\200\324\231/\0", 0x40)		 = 64 0
close_nocancel(0x3)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x147000 0
__sysctl(0x7FFF5FBFD090, 0x2, 0x7FFF5FBFD050)		 = 0 0
__sysctl(0x7FFF5FBFD050, 0x2, 0x7FFF5FBFD0E8)		 = 0 0
getpid(0x7FFF5FBFCFE0, 0x7FFFFFE00050, 0x0)		 = 61724 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, "\277zEO\341\234>\236'\261\033|\321\203-H(Ug\343Qp~;\247d\b\342\301\273\3412\333zuFg\363*x\246#\376\360\360O2\016\230\242?\253\234k\273\2731T:\250_\264A8\002\016\"f(\336r\215Y \037\334\212F\264+\245\362\353\334\344\"E7\364zw\243\260z\017\031(\324\361\242\376\352\323\341\017S\303\340\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD090, 0x2, 0x7FFF5FBFD0BC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x14A000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x161000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x178000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x179000 0
munmap(0x100179000, 0x87000)		 = 0 0
munmap(0x100300000, 0x79000)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF70A7B760)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF70A7B764)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF70A7B768)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x179000 0
__sysctl(0x7FFF5FBFD1C0, 0x2, 0x7FFF5FBFD180)		 = 0 0
__sysctl(0x7FFF5FBFD180, 0x2, 0x7FFF5FBFD218)		 = 0 0
__sysctl(0x7FFF5FBFD1C0, 0x2, 0x7FFF5FBFD1EC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x17C000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x193000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x300000 0
munmap(0x100400000, 0x100000)		 = 0 0

